,cert,fed_rssd
1521,13625,622653
1522,288,839817
1523,16717,792248
1524,12602,788559
1525,28478,412872
1526,13801,372640
1527,13887,446130
1528,4144,836656
1529,1895,891226
1530,15801,205243
1531,3170,555256
1532,16440,4231
1533,13415,257653
1534,1735,434539
1535,17444,984650
1536,14275,516154
1537,16810,455552
1538,5377,398051
1539,12355,472643
1540,1225,871769
1541,14024,274052
1542,1660,282226
1543,14056,266851
1544,255,201647
1545,10492,673244
1546,501,601153
1547,21728,677756
1548,15610,145741
1549,10571,388753
1550,8845,269759
1551,1599,334657
1552,11324,321330
1553,8756,864248
1554,10165,728957
1555,1901,762353
1556,13382,770451
1557,13662,411651
1558,8405,289515
1559,14445,51842
1560,22888,658924
1561,10896,672041
1562,1296,325141
1563,8661,524757
1564,2850,307062
1565,57335,3020447
1566,2429,619327
1567,17614,482156
1568,4621,984351
1569,1291,12946
1570,1027,33147
1571,12869,262741
1572,2765,46941
1573,16103,3458
1574,8267,742355
1575,8268,743950
1576,4539,303952
1577,34711,19972
1578,10514,449841
1579,15118,1002850
1580,4611,137559
1581,15928,166849
1582,18284,624648
1583,10500,380346
1584,25668,656247
1585,13025,205346
1586,18394,741844
1587,14807,774347
1588,10122,368344
1589,9122,228055
1590,16116,143859
1591,15367,461058
1592,15126,680747
1593,14344,603559
1594,14578,113441
1595,8760,208440
1596,8647,327220
1597,12107,921936
1598,5838,131717
1599,342,475354
1600,13897,757452
1601,11307,477648
1602,526,542854
1603,5797,537243
1604,12293,407850
1605,13407,875057
1606,1686,120953
1607,9295,749840
1608,19720,113030
1609,9106,507349
1610,13775,105530
1611,12855,840747
1612,879,773032
1613,6156,694771
1614,14209,1006148
1615,10458,510947
1616,16114,567736
1617,11299,856346
1618,1780,956956
1619,11133,91950
1620,10802,41937
1621,10077,860231
1622,8214,1006157
1623,10561,1007752
1624,9259,837541
1625,9354,981453
